id,dep_stn,arr_stn,ac_code,dep_date,arr_date,weather,hobbs_meter,year_man,dep_country,arr_country,delay
TU 0930 ,TUN,MRS,TU 32AIMD,2016-01-01 07:55:00,2016-01-01 09.30.00,sunny,4390,2004-08,Tunisia,France,18.0
TU 0526 ,TUN,DUS,TU 736IOQ,2016-01-01 08:20:00,2016-01-01 11.05.00,rainy,5882,2010-01,Tunisia,Germany,39.0
TU 0718 ,TUN,ORY,TU 320IMU,2016-01-01 10:05:00,2016-01-01 12.25.00,foggy,6117,2011-03,Tunisia,France,14.0
TU 0997 ,NCE,TUN,TU 320IMT,2016-01-01 10:15:00,2016-01-01 11.50.00,sunny,8941,2010-01,France,Tunisia,25.0
TU 0700 ,TUN,GVA,TU 320IMV,2016-01-01 12:40:00,2016-01-01 14.35.00,stormy,4301,2004-08,Tunisia,Switzerland,21.0
TU 0719 ,ORY,TUN,TU 320IMU,2016-01-01 13:25:00,2016-01-01 15.50.00,sunny,6117,2011-03,France,Tunisia,37.0
TU 0851 ,LYS,TUN,TU 32AIMH,2016-01-01 15:05:00,2016-01-01 17.00.00,sunny,7437,2011-03,France,Tunisia,30.0
TU 0635 ,ORY,DJE,TU 31AIMJ,2016-01-01 17:15:00,2016-01-01 20.00.00,rainy,3329,2004-08,France,Tunisia,18.0
TU 9038 ,TUN,DJE,TU 736IOK,2016-01-02 04:50:00,2016-01-02 05.45.00,sunny,6099,2003-02,Tunisia,Tunisia,14.0
TU 0700 ,TUN,GVA,TU 320IMU,2016-01-02 07:25:00,2016-01-02 09.20.00,sunny,6117,2011-03,Tunisia,Switzerland,18.0
TU 0718 ,TUN,ORY,TU 320IMR,2016-01-02 10:05:00,2016-01-02 12.20.00,windy,5351,2003-02,Tunisia,France,43.0
TU 0997 ,NCE,TUN,TU 320IMT,2016-01-02 10:15:00,2016-01-02 11.50.00,foggy,8941,2010-01,France,Tunisia,17.0
TU 0648 ,DJE,FRA,TU 32AIMI,2016-01-02 15:10:00,2016-01-02 18.05.00,stormy,4533,2009-04,Tunisia,Germany,20.0
TU 0929 ,MRS,TUN,TU 320IMS,2016-01-02 18:00:00,2016-01-02 19.35.00,sunny,8987,2003-02,France,Tunisia,17.0
TU 0744 ,TUN,FRA,TU 32AIMD,2016-01-03 07:05:00,2016-01-03 09.40.00,stormy,4390,2004-08,Tunisia,Germany,6.0
TU 0996 ,TUN,NCE,TU 320IMT,2016-01-03 07:45:00,2016-01-03 09.15.00,stormy,8941,2010-01,Tunisia,France,30.0
TU 0930 ,TUN,MRS,TU 320IMR,2016-01-03 07:55:00,2016-01-03 09.30.00,rainy,5351,2003-02,Tunisia,France,21.0
TU 0718 ,TUN,ORY,TU 32AIMH,2016-01-03 10:05:00,2016-01-03 12.25.00,foggy,7437,2011-03,Tunisia,France,10.0
TU 0931 ,MRS,TUN,TU 320IMR,2016-01-03 10:20:00,2016-01-03 11.55.00,cloudy,5351,2003-02,France,Tunisia,15.0
TU 0282 ,TUN,TLS,TU 736IOP,2016-01-03 13:40:00,2016-01-03 15.35.00,windy,7254,2004-08,Tunisia,France,43.0
TU 0481 ,NTE,DJE,TU 736IOQ,2016-01-03 17:50:00,2016-01-03 20.35.00,rainy,5882,2010-01,France,Tunisia,22.0
TU 0711 ,TUN,CMN,TU 32AIMH,2016-01-04 06:55:00,2016-01-04 09.40.00,cloudy,7437,2011-03,Tunisia,Morocco,9.0
TU 0463 ,LYS,MIR,TU 736IOR,2016-01-04 09:55:00,2016-01-04 12.00.00,sunny,5040,2010-01,France,Tunisia,9.0
TU 0789 ,BRU,TUN,TU 320IMR,2016-01-04 11:35:00,2016-01-04 14.10.00,stormy,5351,2003-02,Belgium,Tunisia,37.0
TU 0246 ,TUN,SXB,TU 31BIMQ,2016-01-04 15:20:00,2016-01-04 17.40.00,cloudy,7582,2003-02,Tunisia,France,16.0
TU 0903 ,MRS,TUN,TU 736IOL,2016-01-04 15:50:00,2016-01-04 17.25.00,foggy,8499,2003-02,France,Tunisia,15.0
TU 0339 ,ALG,TUN,TU 320IMU,2016-01-04 17:00:00,2016-01-04 18.10.00,rainy,6117,2011-03,Algeria,Tunisia,23.0
TU 0226 ,TUN,BEG,TU 32AIMD,2016-01-05 08:00:00,2016-01-05 10.05.00,windy,4390,2004-08,Tunisia,Serbia and Montenegro,39.0
TU 0881 ,AMS,TUN,TU 736ION,2016-01-05 10:00:00,2016-01-05 12.50.00,sunny,4293,2011-03,Netherlands,Tunisia,27.0
TU 0701 ,GVA,TUN,TU 320IMR,2016-01-05 10:15:00,2016-01-05 12.10.00,foggy,5351,2003-02,Switzerland,Tunisia,5.0
TU 0931 ,MRS,TUN,TU 320IMW,2016-01-05 10:20:00,2016-01-05 11.55.00,windy,4086,2004-08,France,Tunisia,30.0
TU 0717 ,ORY,TUN,TU 320IMU,2016-01-05 10:55:00,2016-01-05 13.20.00,stormy,6117,2011-03,France,Tunisia,42.0
TU 0790 ,TUN,LHR,TU 32AIMF,2016-01-05 12:45:00,2016-01-05 15.50.00,cloudy,4501,2003-02,Tunisia,United Kingdom,19.0
TU 0339 ,ALG,TUN,TU 332IFM,2016-01-05 17:00:00,2016-01-05 18.10.00,foggy,4076,2000-05,Algeria,Tunisia,25.0
TU 0606 ,TUN,MAD,TU 320IMW,2016-01-06 07:10:00,2016-01-06 09.15.00,sunny,4086,2004-08,Tunisia,Spain,25.0
TU 0996 ,TUN,NCE,TU 32AIMI,2016-01-06 07:45:00,2016-01-06 09.15.00,sunny,4533,2009-04,Tunisia,France,45.0
TU 0283 ,TLS,TUN,TU 736IOL,2016-01-06 10:55:00,2016-01-06 12.50.00,foggy,8499,2003-02,France,Tunisia,25.0
TU 0789 ,BRU,TUN,TU 320IMS,2016-01-06 11:35:00,2016-01-06 14.15.00,rainy,8987,2003-02,Belgium,Tunisia,45.0
TU 0756 ,TUN,MXP,TU 320IMT,2016-01-06 12:30:00,2016-01-06 14.15.00,foggy,8941,2010-01,Tunisia,Italy,38.0
TU 0757 ,MXP,TUN,TU 320IMT,2016-01-06 15:05:00,2016-01-06 16.55.00,foggy,8941,2010-01,Italy,Tunisia,36.0
TU 0722 ,TUN,ORY,TU 32AIMF,2016-01-06 15:10:00,2016-01-06 17.30.00,windy,4501,2003-02,Tunisia,France,23.0
TU 0634 ,DJE,ORY,TU 31AIMJ,2016-01-07 07:00:00,2016-01-07 09.40.00,rainy,3329,2004-08,Tunisia,France,5.0
TU 0712 ,CMN,TUN,TU 32AIMN,2016-01-07 10:30:00,2016-01-07 12.55.00,cloudy,7003,2007-05,Morocco,Tunisia,4.0
TU 0375 ,ALG,TUN,TU 320IMU,2016-01-07 10:45:00,2016-01-07 11.55.00,cloudy,6117,2011-03,Algeria,Tunisia,41.0
TU 0717 ,ORY,TUN,TU 32AIMD,2016-01-07 10:55:00,2016-01-07 13.20.00,foggy,4390,2004-08,France,Tunisia,48.0
